merchant,img_url,name,fruit,fruit_theme,category,color
161616,https://live.staticflickr.com/65535/48960434641_f302a710bd_o.jpg,Strawberry Sandals,strawberry,berry,shoes,"pink,red"
222222,https://live.staticflickr.com/65535/48960623942_6031cb7a2b_o.jpg,Strawberry Hard Candies,strawberry,berry,misc,red
111,https://live.staticflickr.com/65535/48959887228_b64c64e10f.jpg,Strawberry Hair Clips,strawberry,berry,accessories,
191919,https://live.staticflickr.com/65535/48959884123_324e20b845_o.jpg,Pink Strawberry Couch,strawberry,berry,furniture,pink
191919,https://live.staticflickr.com/65535/48959884148_932bf8e38d_o.jpg,Strawberry Beanbag Chair,strawberry,berry,furniture,red
111111,https://live.staticflickr.com/65535/48960620932_ee3ccbdb42_o.jpg,Banana White Sweater,banana,tropical,clothing,yellow
212121,https://live.staticflickr.com/65535/48959884183_69306bcd7f_o.jpg,Pineapple Mickey Mouse,pineapple,tropical,toys,yellow
111111,https://live.staticflickr.com/65535/48959884213_303dd5a752.jpg,Orange Earrings,orange,tropical,earrings,orange
212121,https://live.staticflickr.com/65535/48960624027_19138827a2_b.jpg,Watermelon Berry Bedding,"watermelon,strawberry",berry,bedding,"pink,red"
333,https://live.staticflickr.com/65535/48960620982_3f742a4fb3_b.jpg,Strawberry Dog Costume,strawberry,berry,"animals,costumes",red
202020,https://live.staticflickr.com/65535/48960620992_a4db6cb9b1_o.jpg,Minimalist Pineapple Shirt,pineapple,tropical,clothing,yellow
777,https://live.staticflickr.com/65535/48960621007_e0143f9ce4_o.jpg,Pineapple Cross Purse,pineapple,tropical,bags,yellow
171717,https://live.staticflickr.com/65535/48959887328_97630922f2_o.jpg,Citrus Lemon Holder,lemon,citrus,kitchen,
777,https://live.staticflickr.com/65535/48960621142_11bae1c41c.jpg,Pineapple Cat House,pineapple,tropical,"animals,misc",yellow
212121,https://live.staticflickr.com/65535/48960621152_d3bf89ee82_o.jpg,Peach Round Purse,peach,,bags,pink
222,https://live.staticflickr.com/65535/48960621262_cb145abde8.jpg,Kiwi Chair,kiwi,,furniture,green
111111,https://live.staticflickr.com/65535/48959884388_d37bb76057.jpg,Banana Blue Bedding,banana,tropical,bedding,"blue,yellow"
111,https://live.staticflickr.com/65535/48959884393_6a1cc0090d.jpg,Mango Lotion,mango,tropical,lotion,
777,https://live.staticflickr.com/65535/48960621172_f251374b08_o.jpg,Mango Sandals,mango,tropical,shoes,"green,orange"
131313,https://live.staticflickr.com/65535/48960434896_a309854f2f_b.jpg,Takes Two to Mango Shirt,mango,tropical,clothing,
161616,https://live.staticflickr.com/65535/48959884428_46063f5226_b.jpg,Pineapple Shoes,pineapple,tropical,shoes,yellow
141414,https://live.staticflickr.com/65535/48959884443_3251f82037_o.jpg,Pineapple Soft Purse,pineapple,tropical,bags,yellow
151515,https://live.staticflickr.com/65535/48960624097_7dde7b850b_o.jpg,Lemon Soap Dispenser,lemon,citrus,kitchen,yellow
999,https://live.staticflickr.com/65535/48960621252_589ddeebc0_o.jpg,Kiwi Sunglasses,kiwi,,sunglasses,green
444,https://live.staticflickr.com/65535/48960434961_9891b61a5c.jpg,Strawberry Sunglasses,strawberry,berry,sunglasses,"red,green"
666,https://live.staticflickr.com/65535/48959884498_b8f195f4a3_o.jpg,Kiwi Shirt,kiwi,,clothing,green
333,https://live.staticflickr.com/65535/48960434971_a1cc825a0d_o.jpg,Simple Strawberry Mug,strawberry,berry,"mugs,kitchen","red,pink"
212121,https://live.staticflickr.com/65535/48959884513_b170ff44a5_o.jpg,Cantaloupe Earrings,cantaloupe,,earrings,orange
212121,https://live.staticflickr.com/65535/48959884523_27945ed347_o.jpg,Kiwi Soap Dispenser,kiwi,,soapdispenser,green
555,https://live.staticflickr.com/65535/48960434996_3637bb44b6_o.jpg,Apple Soap Dispenser,apple,,soapdispenser,red
444,https://live.staticflickr.com/65535/48959884548_86e9e46604_o.jpg,Watermelon Pot,watermelon,,kitchen,green
666,https://live.staticflickr.com/65535/48960435021_8b5f813eb8_o.jpg,Kiwi Neck Pillow,kiwi,,misc,green
333,https://live.staticflickr.com/65535/48960621347_d6f7a1a211_o.jpg,Orange Costume,orange,citrus,costumes,orange
212121,https://live.staticflickr.com/65535/48959884578_2ea5cdca86_o.jpg,Fuzzy Stuffed Peach,peach,,toys,pink
999,https://live.staticflickr.com/65535/48960621447_38d4029b90_o.png,Green Stuffed Kiwi Haird Friends,kiwi,,toys,green
333,https://live.staticflickr.com/65535/48959884663_ff712e37da_o.png,Kiwi Guitar,kiwi,,insturments,green
111111,https://live.staticflickr.com/65535/48960621497_39f5464c65_o.png,Avocado Guitar,avocado,,insturments,green
191919,https://live.staticflickr.com/65535/48960621587_f6a6ef585d_o.png,Dragonfruit Container,dragonfruit,tropical,misc,pink
222222,https://live.staticflickr.com/65535/48959884848_542b1ab4b1_o.png,Dragonfruit Bedding,dragonfruit,tropical,bedding,
181818,https://live.staticflickr.com/65535/48960621762_fb5d0740db_b.jpg,Dragonfruit Art,dragonfruit,tropical,misc,"blue,pink"
191919,https://live.staticflickr.com/65535/48960622017_46ae4287c2_o.jpg,Pineapple Bedding,pineapple,tropical,bedding,
171717,https://live.staticflickr.com/65535/48960435431_e04be8078e_o.png,Watermelon Cushion,watermelon,,furniture,green
161616,https://live.staticflickr.com/65535/48960435466_410ef75940_o.png,Avocado Hand Held Stuffed,avocado,,toys,green
555,https://live.staticflickr.com/65535/48960621887_74a26de8fa_o.png,Fruit Stuffed Pillows,,,bedding,
161616,https://live.staticflickr.com/65535/48959885183_bb0139729f_o.png,Red Strawberry Fanta,strawberry,berry,drinks,red
555,https://live.staticflickr.com/65535/48960621992_1da3ba550c_b.jpg,Banana Dog Costume,banana,tropical,"animals,costumes",yellow
161616,https://live.staticflickr.com/65535/48960435761_aacea68829_o.jpg,Artisan Peach Earrings,peach,,earrings,orange
141414,https://live.staticflickr.com/65535/48960622042_31a7e48773_o.jpg,Watermelon Dooramt,watermelon,,misc,red
777,https://live.staticflickr.com/65535/48960622062_eba6bdb82d.jpg,Green Grape Costume,grapes,,costumes,green
181818,https://live.staticflickr.com/65535/48960624167_7744aaf844_o.jpg,Fruit Frenzy Game,,,games,
151515,https://live.staticflickr.com/65535/48959887528_9935b66656.jpg,White Banana Socks,banana,tropical,socks,yellow
161616,https://live.staticflickr.com/65535/48960622072_06dc0105a5_o.jpg,Grape Dog Costume,grapes,,"animals,costumes",purple
242424,https://live.staticflickr.com/65535/48960435786_07fdf93f35_o.jpg,Watermelon Soap Dispenser,watermelon,,soapdispenser,red
777,https://live.staticflickr.com/65535/48960435791_77730d71a7_o.jpg,Blue Banana Socks,banana,tropical,socks,"blue,yellow"
222222,https://live.staticflickr.com/65535/48959885383_5f0130506a.jpg,Pineapple Hello Kitty,pineapple,tropical,toys,yellow
121212,https://live.staticflickr.com/65535/48960622107_0dbcb01505.jpg,Peach Squeeze Lotion,peach,,lotion,"pink,orange"
999,https://live.staticflickr.com/65535/48960435826_ac03bd4837_o.jpg,Orange Cushion,orange,citrus,furniture,orange
111,https://live.staticflickr.com/65535/48960435841_e50bbba962.jpg,Orange Citrus Shirt,orange,citrus,clothing,orange
131313,https://live.staticflickr.com/65535/48960435861_9c781cc0aa.jpg,Citrus Sparkly Purse,,citrus,bags,green
555,https://live.staticflickr.com/65535/48960435886_169922a058_o.jpg,Orange You Glad to See Me Shirt,orange,citrus,clothing,orange
252525,https://live.staticflickr.com/65535/48960622212_bf86671ee3_o.jpg,Bananagrams Game,banana,tropical,games,yellow
444,https://live.staticflickr.com/65535/48959885553_0c2aab3f92.jpg,Avocado Pack,avocado,,bags,
121212,https://live.staticflickr.com/65535/48960435901_0c2d8fea13_o.jpg,Banana Toothbrush,banana,tropical,misc,yellow
161616,https://live.staticflickr.com/65535/48960624342_fb16d29c06_o.jpg,Banana Cutter,banana,tropical,kitchen,yellow
555,https://live.staticflickr.com/65535/48959885508_077b1b4122_o.jpg,Banana Knit Slippers,banana,tropical,shoes,yellow
161616,https://live.staticflickr.com/65535/48959885523_8bfe1ee421_o.jpg,Banana Chair,banana,tropical,furniture,yellow
242424,https://live.staticflickr.com/65535/48960435936_5a26a2eaca_o.jpg,Avocado Wallet,avocado,,bags,green
181818,https://live.staticflickr.com/65535/48959885548_a40551c4ed_o.jpg,Avocado Pencil Sharpener,avocado,,misc,green
161616,https://live.staticflickr.com/65535/48960622262_b870203ef9_o.jpg,Avocado Backpack,avocado,,bags,green
161616,https://live.staticflickr.com/65535/48960622297_22e3e714f9_o.jpg,Wood Apple Cutting Board,apple,,kitchen,
555,https://live.staticflickr.com/65535/48959885593_4af92f825e.jpg,Peach Katy Perry Sandals,peach,,shoes,pink
131313,https://live.staticflickr.com/65535/48960435976_5fcd131c70_o.jpg,Banana Shorts,banana,tropical,clothing,yellow
666,https://live.staticflickr.com/65535/48960622312_ee6c6b39bb.jpg,Pineapple Sunglasses,pineapple,tropical,sunglasses,yellow
161616,https://live.staticflickr.com/65535/48960622382_66b00214d6.jpg,Papaya Costumes,,tropical,costumes,pink
141414,https://live.staticflickr.com/65535/48960622582_0932637cda_o.jpg,Peach Oven Mit Set,peach,,kitchen,"pink,orange"
232323,https://live.staticflickr.com/65535/48959885843_6ca9cd7d39.jpg,Mango Mandarin Lotion,"mango,orange",tropical,lotion,orange
444,https://live.staticflickr.com/65535/48959885933_981fd0d526.jpg,Apple Lotion,apple,,lotion,red
232323,https://live.staticflickr.com/65535/48960436306_319f1f7427_o.jpg,Peach Leather Purse,peach,,purses,pink
161616,https://live.staticflickr.com/65535/48960436326_bd649fce0d_o.jpg,Fuzzy Feelings Peach Mug,peach,,"mugs,kitchen",pink
202020,https://live.staticflickr.com/65535/48960622802_40947f3e06.jpg,Funny Banana Sweatshirt,banana,,clothing,"blue,yellow"
252525,https://live.staticflickr.com/65535/48960436386_b2c6c9f085.jpg,Banana Earrings,banana,,,
151515,https://live.staticflickr.com/65535/48960622907_053717bc8a.jpg,Stuffed Lemon,lemon,citrus,toys,yellow
222222,https://live.staticflickr.com/65535/48959886133_8b276c2b8a_w.jpg,Watermelon Earrings,watermelon,,earrings,red
232323,https://live.staticflickr.com/65535/48959886198_0bf757b407.jpg,Peach Wallet,peach,,bags,"orange,green"
444,https://live.staticflickr.com/65535/48959886223_5c0fd22fd7.jpg,Watermelon Mugs,watermelon,,"kitchen,mugs","red,green"
444,https://live.staticflickr.com/65535/48960623037_c251b250a5.jpg,Banana Lotion,banana,tropical,lotion,yellow
252525,https://live.staticflickr.com/65535/48960436561_c00f65d5ca.jpg,Watermelon Sunglasses,watermelon,,"sunglasses,accessories",red
222,https://live.staticflickr.com/65535/48960436596_7e7793b776.jpg,Pineapple Stuffed Toy,pineapple,tropical,toys,yellow
161616,https://live.staticflickr.com/65535/48960436631_f9f3a25d1c_o.png,Avocado Fuzzy Stuffed Friend,avocado,,toys,green
888,https://live.staticflickr.com/65535/48960623172_24bd5d01ec_o.jpg,Kiwi Keychain,kiwi,,misc,green
101010,https://live.staticflickr.com/65535/48959886478_80aba86e51.jpg,Stuffed Apple Toy,apple,,toys,red
191919,https://live.staticflickr.com/65535/48960436716_26430892a8.jpg,Watermelon Dog Costume,watermelon,,"costumes,animals","red,green"
191919,https://live.staticflickr.com/65535/48960623327_f12062d3f3.jpg,Pineapple Sweatshirt,pineapple,tropical,clothing,yellow
181818,https://live.staticflickr.com/65535/48960436791_8eab292959.jpg,Kiwi Shorts,kiwi,tropical,clothing,green
252525,https://live.staticflickr.com/65535/48960436831_a5447dafdb_o.jpg,Banana Sweatshirt,banana,,clothing,purple
222,https://live.staticflickr.com/65535/48959886623_7c611a48a9_o.jpg,Peach Sweatshirt,peach,,clothing,orange
222,https://live.staticflickr.com/65535/48959886673_5514dd4eb2.jpg,Pineapple Costume,pineapple,tropical,"clothing,costume",yellow
777,https://live.staticflickr.com/65535/48960623482_fdd88125cf_o.jpg,Peach Coin Purse,peach,,purse,
202020,https://live.staticflickr.com/65535/48959886743_126de4e62c.jpg,Lemon Shorts,lemon,citrus,clothing,yellow
111111,https://live.staticflickr.com/65535/48960623592_03e48683b0.jpg,Banana Leggings,banana,tropical,clothing,"blue,yellow"
222,https://live.staticflickr.com/65535/48959886813_215815cd86_o.jpg,Peach Leggings,peach,,clothing,"white,orange"
252525,https://live.staticflickr.com/65535/48960623657_50bf6a7cb4_o.jpg,Kiwi Leggings,kiwi,,clothing,green
121212,https://live.staticflickr.com/65535/48959886853_df0f3df4f6_o.jpg,Kiwi Mug,kiwi,tropical,kitchen,green
191919,https://live.staticflickr.com/65535/48960623682_7270044093_o.jpg,Apple Hello Kitty Toy,apple,,toys,red
222,https://live.staticflickr.com/65535/48960623717_495a3fba84_o.jpg,Mango Stuffed Friend,mango,tropical,toys,yellow
242424,https://live.staticflickr.com/65535/48959886978_aa60a3918f_o.jpg,50 Shades of Avocado,avocado,,books,
888,https://live.staticflickr.com/65535/48960623797_9f6e6bdfb8_o.jpg,Apple Sunglasses,apple,,"sunglasses,accessories",red
212121,https://live.staticflickr.com/65535/48960623857_64d606e624.jpg,Peach Earrings,peach,,"earrings,accessories",orange
222222,https://live.staticflickr.com/65535/48960437396_e39b37176f.jpg,Mango Earrings,mango,tropical,"earrings,accessories",
242424,https://live.staticflickr.com/65535/48959887138_69598f829c.jpg,Avocado Dog Costume,avocado,,"animals,costumes",green
222,https://live.staticflickr.com/65535/48959887033_8ee927e4de.jpg,Peach Lotion,peach,tropical,lotion,
